task,pair,model_a_pred,model_b_pred,same_answer,n,movements
key_signature,Claude vs Gemini,a major,a major,True,1,07-3
key_signature,Claude vs Gemini,a major,e major,False,1,07-4
key_signature,Claude vs Gemini,ab major,ab major,True,1,23-2
key_signature,Claude vs Gemini,ab minor,c minor,False,1,31-3
key_signature,Claude vs Gemini,bb major,c major,False,1,06-3
key_signature,Claude vs Gemini,bb major,g major,False,1,06-1
key_signature,Claude vs Gemini,c minor,a major,False,1,03-3
key_signature,Claude vs Gemini,g major,f major,False,1,10-2
key_signature,Claude vs GPT,g major,g major,True,2,10-2; 16-2
key_signature,Claude vs GPT,ab minor,ab minor,True,1,31-3
key_signature,Claude vs GPT,c minor,c minor,True,1,03-3
key_signature,Gemini vs GPT,a major,c minor,False,1,03-3
key_signature,Gemini vs GPT,bb major,eb major,False,1,01-3
key_signature,Gemini vs GPT,c minor,ab minor,False,1,31-3
key_signature,Gemini vs GPT,d major,bb minor,False,1,06-2
key_signature,Gemini vs GPT,f major,g major,False,1,10-2
key_signature,Gemini vs GPT,g minor,eb major,False,1,18-2
time_signature,Claude vs Gemini,4/4,4/4,True,2,13-1; 29-1
time_signature,Claude vs Gemini,2/4,9/8,False,1,30-3
time_signature,Claude vs GPT,2/4,2/4,True,1,10-2
time_signature,Claude vs GPT,3/4,6/8,False,1,29-4
time_signature,Claude vs GPT,4/4,2/4,False,1,13-1
time_signature,Gemini vs GPT,4/4,2/4,False,4,08-3; 13-1; 16-3; 20-1
time_signature,Gemini vs GPT,4/4,4/4,True,2,01-4; 23-3
time_signature,Gemini vs GPT,3/4,6/8,False,1,16-2
time_signature,Gemini vs GPT,4/4,2/2,False,1,05-2
